LEX,DTW,296
LEX,IAH,828
LEX,LGA,604
LEX,MSP,650
LEX,ORD,323
EUG,BOI,351
EUG,DEN,996
EUG,LAX,748
EUG,SFO,451
EUG,SLC,618
MQT,DTW,349
MQT,ORD,303
ACK,BOS,91
ACK,DCA,405
ACK,JFK,199
LCH,DFW,295
LCH,IAH,127
CNY,SLC,184
GST,JNU,41
LBE,FLL,980
LBE,LAS,1954
LBE,MCO,824
LBE,MYR,456
LBE,ORD,459
LBE,RSW,956
LBE,TPA,866
ERI,DTW,164
ERI,ORD,398
SAT,ATL,874
SAT,BNA,822
SAT,BWI,1407
SAT,CLT,1095
SAT,DAL,248
SAT,DEN,794
SAT,DFW,247
SAT,DTW,1214
SAT,ELP,496
SAT,EWR,1569
SAT,HOU,192
SAT,IAD,1362
SAT,IAH,191
SAT,JFK,1587
SAT,LAS,1069
SAT,LAX,1211
SAT,MCO,1041
SAT,MDW,1036
SAT,MIA,1143
SAT,MSP,1097
SAT,MSY,494
SAT,ORD,1041
SAT,PHL,1496
SAT,PHX,843
SAT,SAN,1129
SAT,SEA,1774
SAT,SFO,1482
SAT,SLC,1087
SAT,STL,786
SAT,TPA,972
PSP,DEN,776
PSP,DFW,1126
PSP,IAH,1269
PSP,JFK,2378
PSP,LAX,110
PSP,MSP,1454
PSP,ORD,1651.762803234501
PSP,PDX,873
PSP,PHX,261
PSP,SEA,987
PSP,SFO,421
PSP,SLC,541
TYS,ATL,152
TYS,CLL,801
TYS,DEN,1162
TYS,DFW,771.747463359639
TYS,DTW,443
TYS,EWR,631
TYS,IAD,419
TYS,IAH,771
TYS,LEX,157
TYS,LGA,647
TYS,ORD,475
TYR,DFW,102
TYR,IAH,163
JNU,ANC,571
JNU,GST,41
JNU,KTN,234
JNU,PSG,123
JNU,SEA,909
JNU,SIT,95
JNU,YAK,198.917127071823
TOL,ORD,213
AKN,ANC,288
PBI,ACY,936
PBI,ATL,545
PBI,BDL,1133
PBI,BOS,1197
PBI,BWI,883
PBI,CLT,590
PBI,DCA,857
PBI,DEN,1679
PBI,DFW,1102
PBI,DTW,1086
PBI,EWR,1023
PBI,HPN,1056
PBI,IAD,859
PBI,IAH,956
PBI,ISP,1052
PBI,JFK,1028
PBI,LAX,2330
PBI,LGA,1035
PBI,MDW,1128
PBI,ORD,1144
PBI,PHL,951
PBI,PIT,952
PBI,PVD,1148
PBI,TTN,985
IAG,FLL,1176
IAG,MYR,650
RNO,DEN,804
RNO,DFW,1345
RNO,IAH,1530
RNO,JFK,2411
RNO,LAS,345
RNO,LAX,391
RNO,MDW,1680
RNO,MSP,1405
RNO,ORD,1671
RNO,PHX,601
RNO,SAN,488
RNO,SFO,192
RNO,SLC,422
ECP,ATL,240
ECP,BNA,401
ECP,BWI,798
ECP,DAL,674
ECP,HOU,571
ECP,IAH,572
ECP,STL,634
CSG,ATL,83
AVP,ATL,714
AVP,DTW,399
AVP,EWR,93
AVP,ORD,632
SAV,ATL,214
SAV,BOS,901
SAV,BQK,62
SAV,DFW,925
SAV,DTW,705
SAV,EWR,708
SAV,IAD,515
SAV,IAH,851
SAV,JFK,718
SAV,LGA,722
SAV,ORD,773
PSG,JNU,123
PSG,WRG,31
GTR,ATL,241
MDW,ABQ,1121
MDW,ALB,717
MDW,ATL,591
MDW,AUS,972
MDW,BDL,777
MDW,BHM,570
MDW,BNA,395
MDW,BOI,1448
MDW,BOS,861
MDW,BUF,468
MDW,BWI,611
MDW,CHS,745
MDW,CLE,307
MDW,CLT,584
MDW,CMH,283
MDW,DAL,793
MDW,DCA,601
MDW,DEN,895
MDW,DSM,306
MDW,DTW,228
MDW,EWR,711
MDW,FLL,1166.703099510604
MDW,GEG,1511
MDW,GSP,562
MDW,HOU,937
MDW,IAD,577
MDW,ICT,589
MDW,JAX,849
MDW,LAS,1521
MDW,LAX,1750
MDW,LGA,725
MDW,LIT,544
MDW,MCI,405
MDW,MCO,990
MDW,MEM,480
MDW,MHT,838
MDW,MSP,349
MDW,MSY,825
MDW,OAK,1844
MDW,OKC,691
MDW,OMA,423
MDW,ONT,1706
MDW,ORF,704
MDW,PBI,1128
MDW,PDX,1751
MDW,PHL,668
MDW,PHX,1444
MDW,PIT,402
MDW,PNS,781
MDW,PVD,842
MDW,PWM,895
